"package","version"
"renv","1.2.3"
"haven","2.5.5"
"arrow","24.0.0"
"dplyr","1.2.1"
"tidyr","1.3.2"
"tibble","3.3.1"
"purrr","1.2.2"
"ggplot2","4.0.3"
"scales","1.4.0"
"openxlsx","4.2.8.1"
"readxl","1.4.5"
"readr","2.2.0"
"sandwich","3.1.1"
"lmtest","0.9.40"
"jsonlite","2.0.0"
